Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C13, C14, C15, C16, C17, C18, C19, C21",0402,11,100nf,C1525
"C12, C9",0402,2,1uf,C52923
"C2, C20, C22, C5, C6, C7, C8",0603,7,10uf,C96446
"C3, C4",0402,2,30pf,C1570
D1,D_SMA_Handsoldering,1,SS34,C8678
J4,microSD_HC_Molex_104031-0811,1,Micro_SD_Card,C585350
J6,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0,C2988369
Q1,SOT-23,1,AO3401A,C15127
Q2,SOT-23,1,BSS138,C7420339
"R1, R2, R3, R7",0603,4,10k,C25804
"R10, R11, R8, R9",0603,4,5.1k,C23186
R12,0603,1,10,C22859
R4,0603,1,1k,C21190
"R5, R6",0603,2,27,C25190
SW1,SW_Push_1P1T_XKB_TS-1187A,1,SW_USBBOOT,C318884
SW2,SW_Push_1P1T_XKB_TS-1187A,1,SW_RESET,C318884
U1,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVSS,C97521
U2,SOT-23-5,1,RT9080-33GJ5,C841192
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U4,SOT-23-5,1,TP4054-42,C32574
U5,SOT-23-3,1,APX803S-26/29,C526393
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,X322512MSB4SI,C9002
